Timestamp, Position (X, Y, Z), Rotation (X, Y, Z)
2025-02-13 21:18:13.235, 10.70, 3.44, 2.84, 0.00, 150.73, 0.00
2025-02-13 21:18:14.236, 11.07, 3.44, -2.00, 0.00, 200.80, 0.00
2025-02-13 21:18:15.245, 7.60, 3.44, -5.38, 0.00, 250.84, 0.00
2025-02-13 21:18:16.246, 2.74, 3.44, -4.87, 0.00, 301.28, 0.00
2025-02-13 21:18:17.247, 0.05, 3.44, -0.85, 0.00, 351.29, 0.00
2025-02-13 21:18:18.249, 1.41, 3.44, 3.81, 0.00, 41.45, 0.00
2025-02-13 21:18:19.253, 5.86, 3.44, 5.75, 0.00, 91.61, 0.00
2025-02-13 21:18:20.255, 10.20, 3.44, 3.58, 0.00, 141.72, 0.00
2025-02-13 21:18:21.255, 11.32, 3.44, -1.13, 0.00, 191.78, 0.00
2025-02-13 21:18:22.258, 8.42, 3.44, -5.02, 0.00, 241.88, 0.00
2025-02-13 21:18:23.261, 3.57, 3.44, -5.29, 0.00, 292.03, 0.00
2025-02-13 21:18:24.270, 0.28, 3.44, -1.80, 0.00, 341.50, 0.00
2025-02-13 21:18:25.270, 0.87, 3.44, 3.10, 0.00, 32.50, 0.00
2025-02-13 21:18:26.271, 4.96, 3.44, 5.71, 0.00, 82.60, 0.00
2025-02-13 21:18:27.272, 9.58, 3.44, 4.25, 0.00, 132.65, 0.00
2025-02-13 21:18:28.282, 11.43, 3.44, -0.23, 0.00, 182.70, 0.00
2025-02-13 21:18:29.284, 9.15, 3.44, -4.56, 0.00, 233.21, 0.00
2025-02-13 21:18:30.284, 4.41, 3.44, -5.55, 0.00, 283.23, 0.00
2025-02-13 21:18:31.285, 0.60, 3.44, -2.56, 0.00, 333.22, 0.00
2025-02-13 21:18:32.287, 0.45, 3.44, 2.29, 0.00, 23.36, 0.00
2025-02-13 21:18:33.289, 4.07, 3.44, 5.52, 0.00, 73.43, 0.00
2025-02-13 21:18:34.290, 8.86, 3.44, 4.81, 0.00, 123.50, 0.00
2025-02-13 21:18:35.291, 11.40, 3.44, 0.68, 0.00, 173.55, 0.00
2025-02-13 21:18:36.291, 9.87, 3.44, -3.91, 0.00, 223.52, 0.00
2025-02-13 21:18:37.292, 5.36, 3.44, -5.69, 0.00, 273.62, 0.00
2025-02-13 21:18:38.293, 1.10, 3.44, -3.37, 0.00, 323.67, 0.00
2025-02-13 21:18:39.295, 0.14, 3.44, 1.38, 0.00, 13.72, 0.00
2025-02-13 21:18:40.296, 3.17, 3.44, 5.17, 0.00, 63.81, 0.00
2025-02-13 21:18:41.297, 8.01, 3.44, 5.27, 0.00, 113.81, 0.00
2025-02-13 21:18:42.298, 11.21, 3.44, 1.62, 0.00, 163.91, 0.00
2025-02-13 21:18:43.301, 10.46, 3.44, -3.17, 0.00, 214.05, 0.00
2025-02-13 21:18:44.304, 6.30, 3.44, -5.67, 0.00, 264.19, 0.00
2025-02-13 21:18:45.303, 1.72, 3.44, -4.09, 0.00, 314.20, 0.00
2025-02-13 21:18:46.304, 0.00, 3.44, 0.44, 0.00, 4.23, 0.00
2025-02-13 21:18:47.305, 2.36, 3.44, 4.68, 0.00, 54.30, 0.00
2025-02-13 21:18:48.307, 7.12, 3.44, 5.58, 0.00, 104.36, 0.00
2025-02-13 21:18:49.308, 10.87, 3.44, 2.51, 0.00, 154.37, 0.00
