Timestamp, Position (X, Y, Z), Rotation (X, Y, Z, W)
1.68432, 0, 3.442, 8.497457, 0, 0, 0, 1
1.698938, 0, 3.442, 8.521604, 0, 0, 0, 1
1.705812, 0, 3.442, 8.594692, 0, 0, 0, 1
1.710639, 0, 3.442, 8.629066, 0, 0, 0, 1
1.715439, 0, 3.442, 8.653199, 0, 0, 0, 1
1.72038, 0, 3.442, 8.677197, 0, 0, 0, 1
1.725107, 0, 3.442, 8.701904, 0, 0, 0, 1
1.729708, 0, 3.442, 8.72554, 0, 0, 0, 1
1.7345, 0, 3.442, 8.748542, 0, 0, 0, 1
1.739288, 0, 3.442, 8.772501, 0, 0, 0, 1
1.743651, 0, 3.442, 8.796441, 0, 0, 0, 1
1.748424, 0, 3.442, 8.818255, 0, 0, 0, 1
1.754029, 0, 3.442, 8.84212, 0, 0, 0, 1
1.758973, 0, 3.442, 8.870148, 0, 0, 0, 1
1.763413, 0, 3.442, 8.894867, 0, 0, 0, 1
1.768227, 0, 3.442, 8.917068, 0, 0, 0, 1
1.772881, 0, 3.442, 8.941137, 0, 0, 0, 1
1.777566, 0, 3.442, 8.964406, 0, 0, 0, 1
1.782487, 0, 3.442, 8.98783, 0, 0, 0, 1
1.787253, 0, 3.442, 9.012435, 0, 0, 0, 1
1.792646, 0, 3.442, 9.036268, 0, 0, 0, 1
1.797198, 0, 3.442, 9.063231, 0, 0, 0, 1
1.801693, 0, 3.442, 9.085992, 0, 0, 0, 1
1.806711, 0, 3.442, 9.108468, 0, 0, 0, 1
1.811585, 0, 3.442, 9.133559, 0, 0, 0, 1
1.816337, 0, 3.442, 9.157929, 0, 0, 0, 1
1.822864, 0, 3.442, 9.181689, 0, 0, 0, 1
1.827507, 0, 3.442, 9.214326, 0, 0, 0, 1
1.832396, 0, 3.442, 9.237536, 0, 0, 0, 1
1.837552, 0, 3.442, 9.261986, 0, 0, 0, 1
1.852341, 0, 3.442, 9.287766, 0, 0, 0, 1
1.859194, 0, 3.442, 9.36171, 0, 0, 0, 1
1.86432, 0, 3.442, 9.395973, 0, 0, 0, 1
1.869954, 0, 3.442, 9.421605, 0, 0, 0, 1
1.874699, 0, 3.442, 9.449775, 0, 0, 0, 1
1.879884, 0, 3.442, 9.473498, 0, 0, 0, 1
1.885322, 0, 3.442, 9.499423, 0, 0, 0, 1
1.89003, 0, 3.442, 9.526613, 0, 0, 0, 1
1.895616, 0, 3.442, 9.550153, 0, 0, 0, 1
1.902694, 0, 3.442, 9.578083, 0, 0, 0, 1
